{'pitch': -28.51, 'roll': -15.13, 'pitch_output': -58.510000000000005, 'roll_output': 15.13, 'servo1_output': -41.38, 'servo2_output': -71.64, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.416958947181705, 'reaction_fps': 40.26, 'obstacle_time': 0.79, 'obstacle_interrupt': (True, 'up'), 'servo1': 5.201, 'servo2': 3.52}
{'pitch': -28.51, 'roll': -15.13, 'pitch_output': -58.510000000000005, 'roll_output': 15.13, 'servo1_output': -41.38, 'servo2_output': -71.64, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.416958947181705, 'reaction_fps': 39.61, 'obstacle_time': 0.79, 'obstacle_interrupt': (True, 'up'), 'servo1': 5.201, 'servo2': 3.52}
{'pitch': -28.56, 'roll': -15.74, 'pitch_output': -58.56, 'roll_output': 15.74, 'servo1_output': -40.82, 'servo2_output': -72.3, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.416958947181705, 'reaction_fps': 40.35, 'obstacle_time': 0.79, 'obstacle_interrupt': (True, 'up'), 'servo1': 5.232, 'servo2': 3.483}
{'pitch': -28.56, 'roll': -15.74, 'pitch_output': -58.56, 'roll_output': 15.74, 'servo1_output': -40.82, 'servo2_output': -72.3, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.416958947181705, 'reaction_fps': 39.72, 'obstacle_time': 0.79, 'obstacle_interrupt': (True, 'up'), 'servo1': 5.232, 'servo2': 3.483}
{'pitch': -25.7, 'roll': -15.02, 'pitch_output': -55.7, 'roll_output': 15.02, 'servo1_output': -38.68000000000001, 'servo2_output': -68.72, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.416958947181705, 'reaction_fps': 39.96, 'obstacle_time': 2.83, 'obstacle_interrupt': (True, 'up'), 'servo1': 5.351, 'servo2': 3.682}
{'pitch': -25.7, 'roll': -15.02, 'pitch_output': -55.7, 'roll_output': 15.02, 'servo1_output': -38.68000000000001, 'servo2_output': -68.72, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.416958947181705, 'reaction_fps': 39.38, 'obstacle_time': 2.83, 'obstacle_interrupt': (True, 'up'), 'servo1': 5.351, 'servo2': 3.682}
{'pitch': -18.76, 'roll': -13.04, 'pitch_output': -48.760000000000005, 'roll_output': 13.04, 'servo1_output': -33.720000000000006, 'servo2_output': -59.800000000000004, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.416958947181705, 'reaction_fps': 39.56, 'obstacle_time': 2.83, 'obstacle_interrupt': (True, 'up'), 'servo1': 5.627, 'servo2': 4.178}
{'pitch': -18.76, 'roll': -13.04, 'pitch_output': -48.760000000000005, 'roll_output': 13.04, 'servo1_output': -33.720000000000006, 'servo2_output': -59.800000000000004, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.416958947181705, 'reaction_fps': 39.0, 'obstacle_time': 2.83, 'obstacle_interrupt': (True, 'up'), 'servo1': 5.627, 'servo2': 4.178}
{'pitch': -9.42, 'roll': -11.31, 'pitch_output': -39.42, 'roll_output': 11.31, 'servo1_output': -26.11, 'servo2_output': -48.730000000000004, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.416958947181705, 'reaction_fps': 39.68, 'obstacle_time': 3.57, 'obstacle_interrupt': (True, 'up'), 'servo1': 6.049, 'servo2': 4.793}
{'pitch': -9.42, 'roll': -11.31, 'pitch_output': -39.42, 'roll_output': 11.31, 'servo1_output': -26.11, 'servo2_output': -48.730000000000004, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.416958947181705, 'reaction_fps': 39.14, 'obstacle_time': 3.57, 'obstacle_interrupt': (True, 'up'), 'servo1': 6.049, 'servo2': 4.793}
{'pitch': -0.06, 'roll': -9.52, 'pitch_output': -30.06, 'roll_output': 9.52, 'servo1_output': -18.54, 'servo2_output': -37.58, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.416958947181705, 'reaction_fps': 39.3, 'obstacle_time': 3.57, 'obstacle_interrupt': (True, 'up'), 'servo1': 6.47, 'servo2': 5.412}
{'pitch': -0.06, 'roll': -9.52, 'pitch_output': -30.06, 'roll_output': 9.52, 'servo1_output': -18.54, 'servo2_output': -37.58, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.416958947181705, 'reaction_fps': 38.8, 'obstacle_time': 3.98, 'obstacle_interrupt': (True, 'up'), 'servo1': 6.47, 'servo2': 5.412}
{'pitch': 8.6, 'roll': -7.47, 'pitch_output': -21.4, 'roll_output': 7.47, 'servo1_output': -11.93, 'servo2_output': -26.869999999999997, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.416958947181705, 'reaction_fps': 39.04, 'obstacle_time': 3.98, 'obstacle_interrupt': (True, 'up'), 'servo1': 6.837, 'servo2': 6.007}
{'pitch': 8.6, 'roll': -7.47, 'pitch_output': -21.4, 'roll_output': 7.47, 'servo1_output': -11.93, 'servo2_output': -26.869999999999997, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.416958947181705, 'reaction_fps': 38.55, 'obstacle_time': 3.98, 'obstacle_interrupt': (True, 'up'), 'servo1': 6.837, 'servo2': 6.007}
{'pitch': 14.6, 'roll': -4.67, 'pitch_output': -15.4, 'roll_output': 4.67, 'servo1_output': -8.73, 'servo2_output': -18.07, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.416958947181705, 'reaction_fps': 39.08, 'obstacle_time': 3.98, 'obstacle_interrupt': (True, 'up'), 'servo1': 7.015, 'servo2': 6.496}
{'pitch': 14.6, 'roll': -4.67, 'pitch_output': -15.4, 'roll_output': 4.67, 'servo1_output': -8.73, 'servo2_output': -18.07, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.416958947181705, 'reaction_fps': 38.61, 'obstacle_time': 3.98, 'obstacle_interrupt': (True, 'up'), 'servo1': 7.015, 'servo2': 6.496}
{'pitch': 18.15, 'roll': -2.95, 'pitch_output': -11.850000000000001, 'roll_output': 2.95, 'servo1_output': -6.900000000000002, 'servo2_output': -12.8, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.416958947181705, 'reaction_fps': 38.77, 'obstacle_time': 4.14, 'obstacle_interrupt': (True, 'up'), 'servo1': 7.117, 'servo2': 6.789}
{'pitch': 18.15, 'roll': -2.95, 'pitch_output': -11.850000000000001, 'roll_output': 2.95, 'servo1_output': -6.900000000000002, 'servo2_output': -12.8, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.416958947181705, 'reaction_fps': 38.33, 'obstacle_time': 4.14, 'obstacle_interrupt': (True, 'up'), 'servo1': 7.117, 'servo2': 6.789}
{'pitch': 20.76, 'roll': -2.89, 'pitch_output': -9.239999999999998, 'roll_output': 2.89, 'servo1_output': -4.349999999999998, 'servo2_output': -10.129999999999999, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.416958947181705, 'reaction_fps': 38.49, 'obstacle_time': 4.14, 'obstacle_interrupt': (True, 'up'), 'servo1': 7.258, 'servo2': 6.937}
{'pitch': 20.76, 'roll': -2.89, 'pitch_output': -9.239999999999998, 'roll_output': 2.89, 'servo1_output': -4.349999999999998, 'servo2_output': -10.129999999999999, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.416958947181705, 'reaction_fps': 38.06, 'obstacle_time': 4.14, 'obstacle_interrupt': (True, 'up'), 'servo1': 7.258, 'servo2': 6.937}
{'pitch': 21.09, 'roll': -4.09, 'pitch_output': -8.91, 'roll_output': 4.09, 'servo1_output': -2.8200000000000003, 'servo2_output': -11.0, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.416958947181705, 'reaction_fps': 38.7, 'obstacle_time': 4.14, 'obstacle_interrupt': (True, 'up'), 'servo1': 7.343, 'servo2': 6.889}
{'pitch': 21.09, 'roll': -4.09, 'pitch_output': -8.91, 'roll_output': 4.09, 'servo1_output': -2.8200000000000003, 'servo2_output': -11.0, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.416958947181705, 'reaction_fps': 38.28, 'obstacle_time': 4.15, 'obstacle_interrupt': (True, 'right'), 'servo1': 7.343, 'servo2': 6.889}
{'pitch': 17.74, 'roll': -5.52, 'pitch_output': 17.74, 'roll_output': 35.519999999999996, 'servo1_output': 55.25999999999999, 'servo2_output': -15.779999999999998, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.416958947181705, 'reaction_fps': 38.45, 'obstacle_time': 4.15, 'obstacle_interrupt': (True, 'right'), 'servo1': 10.57, 'servo2': 6.623}
{'pitch': 17.74, 'roll': -5.52, 'pitch_output': 17.74, 'roll_output': 35.519999999999996, 'servo1_output': 55.25999999999999, 'servo2_output': -15.779999999999998, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.416958947181705, 'reaction_fps': 38.05, 'obstacle_time': 4.15, 'obstacle_interrupt': (True, 'right'), 'servo1': 10.57, 'servo2': 6.623}
{'pitch': 14.44, 'roll': -3.74, 'pitch_output': 14.44, 'roll_output': 33.74, 'servo1_output': 50.18, 'servo2_output': -17.300000000000004, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.416958947181705, 'reaction_fps': 38.24, 'obstacle_time': 4.15, 'obstacle_interrupt': (True, 'right'), 'servo1': 10.288, 'servo2': 6.539}
{'pitch': 14.44, 'roll': -3.74, 'pitch_output': 14.44, 'roll_output': 33.74, 'servo1_output': 50.18, 'servo2_output': -17.300000000000004, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.416958947181705, 'reaction_fps': 37.86, 'obstacle_time': 4.21, 'obstacle_interrupt': (True, 'right'), 'servo1': 10.288, 'servo2': 6.539}
{'pitch': 12.97, 'roll': -0.64, 'pitch_output': 12.97, 'roll_output': 30.64, 'servo1_output': 45.61, 'servo2_output': -15.670000000000002, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.416958947181705, 'reaction_fps': 38.52, 'obstacle_time': 4.21, 'obstacle_interrupt': (True, 'right'), 'servo1': 10.034, 'servo2': 6.629}
