{'pitch': 2.62, 'roll': 20.54, 'pitch_output': 2.62, 'roll_output': -50.54, 'servo1_output': -45.92, 'servo2_output': 55.16, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.848833453655246, 'reaction_fps': 40.89, 'obstacle_time': 3.82, 'obstacle_interrupt': (True, 'left'), 'servo1': 4.949, 'servo2': 10.564}
{'pitch': 3.55, 'roll': 20.81, 'pitch_output': 3.55, 'roll_output': -50.81, 'servo1_output': -45.260000000000005, 'servo2_output': 56.36, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.848833453655246, 'reaction_fps': 41.05, 'obstacle_time': 3.82, 'obstacle_interrupt': (True, 'left'), 'servo1': 4.986, 'servo2': 10.631}
{'pitch': 3.55, 'roll': 20.81, 'pitch_output': 3.55, 'roll_output': -50.81, 'servo1_output': -45.260000000000005, 'servo2_output': 56.36, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.848833453655246, 'reaction_fps': 40.35, 'obstacle_time': 3.82, 'obstacle_interrupt': (True, 'left'), 'servo1': 4.986, 'servo2': 10.631}
{'pitch': 4.64, 'roll': 20.56, 'pitch_output': 4.64, 'roll_output': -50.56, 'servo1_output': -43.92, 'servo2_output': 57.2, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.848833453655246, 'reaction_fps': 41.15, 'obstacle_time': 3.87, 'obstacle_interrupt': (True, 'left'), 'servo1': 5.06, 'servo2': 10.678}
{'pitch': 4.64, 'roll': 20.56, 'pitch_output': 4.64, 'roll_output': -50.56, 'servo1_output': -43.92, 'servo2_output': 57.2, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.848833453655246, 'reaction_fps': 40.48, 'obstacle_time': 3.87, 'obstacle_interrupt': (True, 'left'), 'servo1': 5.06, 'servo2': 10.678}
{'pitch': 4.51, 'roll': 20.67, 'pitch_output': 4.51, 'roll_output': -50.67, 'servo1_output': -44.160000000000004, 'servo2_output': 57.18, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.848833453655246, 'reaction_fps': 40.63, 'obstacle_time': 3.87, 'obstacle_interrupt': (True, 'left'), 'servo1': 5.047, 'servo2': 10.677}
{'pitch': 4.51, 'roll': 20.67, 'pitch_output': 4.51, 'roll_output': -50.67, 'servo1_output': -44.160000000000004, 'servo2_output': 57.18, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.848833453655246, 'reaction_fps': 40.0, 'obstacle_time': 3.87, 'obstacle_interrupt': (True, 'left'), 'servo1': 5.047, 'servo2': 10.677}
{'pitch': 3.82, 'roll': 20.91, 'pitch_output': 3.82, 'roll_output': -50.91, 'servo1_output': -45.089999999999996, 'servo2_output': 56.73, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.848833453655246, 'reaction_fps': 40.24, 'obstacle_time': 4.01, 'obstacle_interrupt': (True, 'left'), 'servo1': 4.995, 'servo2': 10.652}
{'pitch': 3.82, 'roll': 20.91, 'pitch_output': 3.82, 'roll_output': -50.91, 'servo1_output': -45.089999999999996, 'servo2_output': 56.73, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.848833453655246, 'reaction_fps': 39.64, 'obstacle_time': 4.01, 'obstacle_interrupt': (True, 'left'), 'servo1': 4.995, 'servo2': 10.652}
{'pitch': 3.21, 'roll': 21.58, 'pitch_output': 3.21, 'roll_output': -51.58, 'servo1_output': -46.37, 'servo2_output': 56.79, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.848833453655246, 'reaction_fps': 40.38, 'obstacle_time': 4.01, 'obstacle_interrupt': (True, 'left'), 'servo1': 4.924, 'servo2': 10.655}
