{'pitch': 13.28, 'roll': 0.6, 'pitch_output': -16.72, 'roll_output': -0.6, 'servo1_output': -15.32, 'servo2_output': -14.119999999999997, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.66821893811226, 'reaction_fps': 38.76, 'obstacle_time': 4.19, 'obstacle_interrupt': (True, 'up'), 'servo1': 6.649, 'servo2': 6.716}
{'pitch': 13.27, 'roll': 0.68, 'pitch_output': -16.73, 'roll_output': -0.68, 'servo1_output': -15.41, 'servo2_output': -14.05, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.66821893811226, 'reaction_fps': 38.98, 'obstacle_time': 4.19, 'obstacle_interrupt': (True, 'up'), 'servo1': 6.644, 'servo2': 6.719}
{'pitch': 13.27, 'roll': 0.68, 'pitch_output': -16.73, 'roll_output': -0.68, 'servo1_output': -15.41, 'servo2_output': -14.05, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.66821893811226, 'reaction_fps': 38.48, 'obstacle_time': 4.19, 'obstacle_interrupt': (True, 'up'), 'servo1': 6.644, 'servo2': 6.719}
{'pitch': 13.26, 'roll': 0.76, 'pitch_output': -16.740000000000002, 'roll_output': -0.76, 'servo1_output': -15.500000000000004, 'servo2_output': -13.980000000000002, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.66821893811226, 'reaction_fps': 39.03, 'obstacle_time': 4.19, 'obstacle_interrupt': (True, 'up'), 'servo1': 6.639, 'servo2': 6.723}
{'pitch': 13.26, 'roll': 0.76, 'pitch_output': -16.740000000000002, 'roll_output': -0.76, 'servo1_output': -15.500000000000004, 'servo2_output': -13.980000000000002, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.66821893811226, 'reaction_fps': 38.55, 'obstacle_time': 4.26, 'obstacle_interrupt': (True, 'up'), 'servo1': 6.639, 'servo2': 6.723}
{'pitch': 13.24, 'roll': 0.72, 'pitch_output': -16.759999999999998, 'roll_output': -0.72, 'servo1_output': -15.479999999999997, 'servo2_output': -14.04, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.66821893811226, 'reaction_fps': 38.69, 'obstacle_time': 4.26, 'obstacle_interrupt': (True, 'up'), 'servo1': 6.64, 'servo2': 6.72}
{'pitch': 13.24, 'roll': 0.72, 'pitch_output': -16.759999999999998, 'roll_output': -0.72, 'servo1_output': -15.479999999999997, 'servo2_output': -14.04, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.66821893811226, 'reaction_fps': 38.23, 'obstacle_time': 4.26, 'obstacle_interrupt': (True, 'up'), 'servo1': 6.64, 'servo2': 6.72}
{'pitch': 13.23, 'roll': 0.8, 'pitch_output': -16.77, 'roll_output': -0.8, 'servo1_output': -15.57, 'servo2_output': -13.969999999999999, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.66821893811226, 'reaction_fps': 38.48, 'obstacle_time': 4.26, 'obstacle_interrupt': (True, 'up'), 'servo1': 6.635, 'servo2': 6.724}
{'pitch': 13.23, 'roll': 0.8, 'pitch_output': -16.77, 'roll_output': -0.8, 'servo1_output': -15.57, 'servo2_output': -13.969999999999999, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.66821893811226, 'reaction_fps': 38.04, 'obstacle_time': 4.32, 'obstacle_interrupt': (True, 'up'), 'servo1': 6.635, 'servo2': 6.724}
{'pitch': 13.23, 'roll': 0.8, 'pitch_output': -16.77, 'roll_output': -0.8, 'servo1_output': -15.57, 'servo2_output': -13.969999999999999, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.66821893811226, 'reaction_fps': 38.65, 'obstacle_time': 4.32, 'obstacle_interrupt': (True, 'up'), 'servo1': 6.635, 'servo2': 6.724}
