{'pitch': -2.34, 'roll': -2.89, 'pitch_output': -2.34, 'roll_output': 32.89, 'servo1_output': 32.55, 'servo2_output': -33.230000000000004, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.327724739313126, 'reaction_fps': 41.88, 'obstacle_time': 4.8, 'obstacle_interrupt': (True, 'right'), 'servo1': 9.308, 'servo2': 5.654}
{'pitch': -2.34, 'roll': -2.89, 'pitch_output': -2.34, 'roll_output': 32.89, 'servo1_output': 32.55, 'servo2_output': -33.230000000000004, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.327724739313126, 'reaction_fps': 41.34, 'obstacle_time': 4.8, 'obstacle_interrupt': (True, 'right'), 'servo1': 9.308, 'servo2': 5.654}
{'pitch': -2.14, 'roll': -3.03, 'pitch_output': -2.14, 'roll_output': 33.03, 'servo1_output': 32.89, 'servo2_output': -33.17, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.327724739313126, 'reaction_fps': 41.95, 'obstacle_time': 4.8, 'obstacle_interrupt': (True, 'right'), 'servo1': 9.327, 'servo2': 5.657}
{'pitch': -2.14, 'roll': -3.03, 'pitch_output': -2.14, 'roll_output': 33.03, 'servo1_output': 32.89, 'servo2_output': -33.17, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.327724739313126, 'reaction_fps': 41.42, 'obstacle_time': 4.9, 'obstacle_interrupt': (True, 'right'), 'servo1': 9.327, 'servo2': 5.657}
{'pitch': -2.52, 'roll': -3.1, 'pitch_output': -2.52, 'roll_output': 33.1, 'servo1_output': 32.58, 'servo2_output': -33.620000000000005, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.327724739313126, 'reaction_fps': 41.55, 'obstacle_time': 4.9, 'obstacle_interrupt': (True, 'right'), 'servo1': 9.31, 'servo2': 5.632}
{'pitch': -2.52, 'roll': -3.1, 'pitch_output': -2.52, 'roll_output': 33.1, 'servo1_output': 32.58, 'servo2_output': -33.620000000000005, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.327724739313126, 'reaction_fps': 41.05, 'obstacle_time': 4.9, 'obstacle_interrupt': (True, 'right'), 'servo1': 9.31, 'servo2': 5.632}
{'pitch': -2.35, 'roll': -4.26, 'pitch_output': -2.35, 'roll_output': 34.26, 'servo1_output': 33.91, 'servo2_output': -34.61, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.327724739313126, 'reaction_fps': 41.21, 'obstacle_time': 4.97, 'obstacle_interrupt': (True, 'right'), 'servo1': 9.384, 'servo2': 5.577}
{'pitch': -2.35, 'roll': -4.26, 'pitch_output': -2.35, 'roll_output': 34.26, 'servo1_output': 33.91, 'servo2_output': -34.61, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.327724739313126, 'reaction_fps': 40.73, 'obstacle_time': 4.97, 'obstacle_interrupt': (True, 'right'), 'servo1': 9.384, 'servo2': 5.577}
{'pitch': -3.0, 'roll': -6.74, 'pitch_output': -3.0, 'roll_output': 36.74, 'servo1_output': 35.74, 'servo2_output': -37.74, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.327724739313126, 'reaction_fps': 41.15, 'obstacle_time': 4.97, 'obstacle_interrupt': (True, 'right'), 'servo1': 9.486, 'servo2': 5.403}
{'pitch': -3.0, 'roll': -6.74, 'pitch_output': -3.0, 'roll_output': 36.74, 'servo1_output': 35.74, 'servo2_output': -37.74, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.327724739313126, 'reaction_fps': 40.69, 'obstacle_time': 5.04, 'obstacle_interrupt': (True, 'right'), 'servo1': 9.486, 'servo2': 5.403}
{'pitch': -2.71, 'roll': -9.36, 'pitch_output': -2.71, 'roll_output': 39.36, 'servo1_output': 38.65, 'servo2_output': -40.07, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.327724739313126, 'reaction_fps': 40.88, 'obstacle_time': 5.04, 'obstacle_interrupt': (True, 'right'), 'servo1': 9.647, 'servo2': 5.274}
{'pitch': -2.71, 'roll': -9.36, 'pitch_output': -2.71, 'roll_output': 39.36, 'servo1_output': 38.65, 'servo2_output': -40.07, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.327724739313126, 'reaction_fps': 40.43, 'obstacle_time': 5.04, 'obstacle_interrupt': (True, 'right'), 'servo1': 9.647, 'servo2': 5.274}
{'pitch': -2.67, 'roll': -12.3, 'pitch_output': -2.67, 'roll_output': 42.3, 'servo1_output': 41.629999999999995, 'servo2_output': -42.97, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.327724739313126, 'reaction_fps': 40.53, 'obstacle_time': 5.04, 'obstacle_interrupt': (True, 'right'), 'servo1': 9.813, 'servo2': 5.113}
{'pitch': -2.67, 'roll': -12.3, 'pitch_output': -2.67, 'roll_output': 42.3, 'servo1_output': 41.629999999999995, 'servo2_output': -42.97, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.327724739313126, 'reaction_fps': 40.11, 'obstacle_time': 5.05, 'obstacle_interrupt': (True, 'right'), 'servo1': 9.813, 'servo2': 5.113}
{'pitch': -2.79, 'roll': -13.86, 'pitch_output': -2.79, 'roll_output': 43.86, 'servo1_output': 43.07, 'servo2_output': -44.65, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.327724739313126, 'reaction_fps': 40.59, 'obstacle_time': 5.05, 'obstacle_interrupt': (True, 'right'), 'servo1': 9.893, 'servo2': 5.019}
{'pitch': -2.79, 'roll': -13.86, 'pitch_output': -2.79, 'roll_output': 43.86, 'servo1_output': 43.07, 'servo2_output': -44.65, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.327724739313126, 'reaction_fps': 40.18, 'obstacle_time': 5.05, 'obstacle_interrupt': (True, 'right'), 'servo1': 9.893, 'servo2': 5.019}
{'pitch': -2.69, 'roll': -14.55, 'pitch_output': -2.69, 'roll_output': 44.55, 'servo1_output': 43.86, 'servo2_output': -45.239999999999995, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.327724739313126, 'reaction_fps': 40.33, 'obstacle_time': 5.05, 'obstacle_interrupt': (True, 'right'), 'servo1': 9.937, 'servo2': 4.987}
{'pitch': -2.69, 'roll': -14.55, 'pitch_output': -2.69, 'roll_output': 44.55, 'servo1_output': 43.86, 'servo2_output': -45.239999999999995, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.327724739313126, 'reaction_fps': 39.93, 'obstacle_time': 5.1, 'obstacle_interrupt': (True, 'right'), 'servo1': 9.937, 'servo2': 4.987}
{'pitch': -3.01, 'roll': -15.04, 'pitch_output': -3.01, 'roll_output': 45.04, 'servo1_output': 44.03, 'servo2_output': -46.05, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.327724739313126, 'reaction_fps': 40.1, 'obstacle_time': 5.1, 'obstacle_interrupt': (True, 'right'), 'servo1': 9.946, 'servo2': 4.942}
{'pitch': -3.01, 'roll': -15.04, 'pitch_output': -3.01, 'roll_output': 45.04, 'servo1_output': 44.03, 'servo2_output': -46.05, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.327724739313126, 'reaction_fps': 39.71, 'obstacle_time': 5.1, 'obstacle_interrupt': (True, 'right'), 'servo1': 9.946, 'servo2': 4.942}
{'pitch': -3.11, 'roll': -14.4, 'pitch_output': -3.11, 'roll_output': 44.4, 'servo1_output': 43.29, 'servo2_output': -45.51, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.327724739313126, 'reaction_fps': 40.15, 'obstacle_time': 5.1, 'obstacle_interrupt': (True, 'right'), 'servo1': 9.905, 'servo2': 4.972}
{'pitch': -3.11, 'roll': -14.4, 'pitch_output': -3.11, 'roll_output': 44.4, 'servo1_output': 43.29, 'servo2_output': -45.51, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.327724739313126, 'reaction_fps': 39.77, 'obstacle_time': 5.12, 'obstacle_interrupt': (True, 'right'), 'servo1': 9.905, 'servo2': 4.972}
{'pitch': -3.4, 'roll': -11.06, 'pitch_output': -3.4, 'roll_output': 41.06, 'servo1_output': 39.660000000000004, 'servo2_output': -42.46, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.327724739313126, 'reaction_fps': 40.32, 'obstacle_time': 5.12, 'obstacle_interrupt': (True, 'right'), 'servo1': 9.703, 'servo2': 5.141}
{'pitch': -3.4, 'roll': -11.06, 'pitch_output': -3.4, 'roll_output': 41.06, 'servo1_output': 39.660000000000004, 'servo2_output': -42.46, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.327724739313126, 'reaction_fps': 39.95, 'obstacle_time': 5.12, 'obstacle_interrupt': (True, 'right'), 'servo1': 9.703, 'servo2': 5.141}
